
2024/08/22 (21:01:47) | ===> btop++ v.1.3.2
2024/08/22 (21:01:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/08/22 (21:01:47) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/02/06 (17:36:51) | ===> btop++ v.1.4.0
2025/02/06 (17:36:51) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (19:47:22) | ===> btop++ v.1.4.0
2025/02/21 (19:47:22) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (00:52:34) | ===> btop++ v.1.4.0
2025/03/02 (00:52:34) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (20:35:17) | ===> btop++ v.1.4.0
2025/03/21 (20:35:17) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (16:53:23) | ===> btop++ v.1.4.0
2025/04/14 (16:53:23) | WARNING: Failed to join _runner thread on exit!

2025/04/16 (20:55:48) | ===> btop++ v.1.4.0
2025/04/16 (20:55:48) | WARNING: Failed to join _runner thread on exit!
